series,bin_center_m,density_raw,density_smoothed
BEVMapMatch-GT,4.625,0.0097442144,0.0067947246
BEVMapMatch-GT,4.675,0.0048721072,0.0046089862
BEVMapMatch-GT,4.725,0.0000000000,0.0017270667
BEVMapMatch-GT,4.775,0.0000000000,0.0003279158
BEVMapMatch-GT,4.825,0.0000000000,0.0003063176
BEVMapMatch-GT,4.875,0.0000000000,0.0014423474
BEVMapMatch-GT,4.925,0.0048721072,0.0031234422
BEVMapMatch-GT,4.975,0.0048721072,0.0031234422
BEVMapMatch-CAF,0.025,0.0230813618,0.0377275460
BEVMapMatch-CAF,0.075,0.0865551068,0.0833021802
BEVMapMatch-CAF,0.125,0.1211771495,0.1448566319
BEVMapMatch-CAF,0.175,0.2308136180,0.2231816194
BEVMapMatch-CAF,0.225,0.3115983843,0.3006710183
BEVMapMatch-CAF,0.275,0.3635314484,0.3676143537
BEVMapMatch-CAF,0.325,0.4327755338,0.4354590524
BEVMapMatch-CAF,0.375,0.4904789383,0.5189648320
BEVMapMatch-CAF,0.425,0.6520484709,0.6104269206
BEVMapMatch-CAF,0.475,0.6751298327,0.6856419511
BEVMapMatch-CAF,0.525,0.7212925563,0.7778241330
BEVMapMatch-CAF,0.575,0.9405654934,0.9104979424
BEVMapMatch-CAF,0.625,1.0444316215,1.0428551487
BEVMapMatch-CAF,0.675,1.1598384305,1.1524135649
BEVMapMatch-CAF,0.725,1.3098672822,1.1993731341
BEVMapMatch-CAF,0.775,1.1309867282,1.1523656151
BEVMapMatch-CAF,0.825,1.0559723024,1.0875829964
BEVMapMatch-CAF,0.875,1.0386612810,1.0599043895
BEVMapMatch-CAF,0.925,1.1425274091,1.0112015117
BEVMapMatch-CAF,0.975,0.7847663012,0.9059508107
BEVMapMatch-CAF,1.025,0.9117137911,0.7970674591
BEVMapMatch-CAF,1.075,0.6001154068,0.6702230138
BEVMapMatch-CAF,1.125,0.5424120023,0.5672739752
BEVMapMatch-CAF,1.175,0.5539526832,0.4844080036
BEVMapMatch-CAF,1.225,0.3231390652,0.3831201697
BEVMapMatch-CAF,1.275,0.3000577034,0.3076587744
BEVMapMatch-CAF,1.325,0.2712060012,0.2628794489
BEVMapMatch-CAF,1.375,0.1961915753,0.2323572559
BEVMapMatch-CAF,1.425,0.2596653203,0.2068242263
BEVMapMatch-CAF,1.475,0.1384881708,0.1630655524
BEVMapMatch-CAF,1.525,0.1038661281,0.1303583263
BEVMapMatch-CAF,1.575,0.1384881708,0.1239161350
BEVMapMatch-CAF,1.625,0.1211771495,0.1153153688
BEVMapMatch-CAF,1.675,0.0980957877,0.0949989345
BEVMapMatch-CAF,1.725,0.0577034045,0.0768524097
BEVMapMatch-CAF,1.775,0.0807847663,0.0693256643
BEVMapMatch-CAF,1.825,0.0577034045,0.0627689899
BEVMapMatch-CAF,1.875,0.0577034045,0.0552729326
BEVMapMatch-CAF,1.925,0.0461627236,0.0496082000
BEVMapMatch-CAF,1.975,0.0403923832,0.0503303248
BEVMapMatch-CAF,2.025,0.0692440854,0.0542547261
BEVMapMatch-CAF,2.075,0.0519330641,0.0491653814
BEVMapMatch-CAF,2.125,0.0230813618,0.0445409783
BEVMapMatch-CAF,2.175,0.0634737450,0.0502438081
BEVMapMatch-CAF,2.225,0.0634737450,0.0478180044
BEVMapMatch-CAF,2.275,0.0115406809,0.0368449406
BEVMapMatch-CAF,2.325,0.0519330641,0.0320430130
BEVMapMatch-CAF,2.375,0.0115406809,0.0284315314
BEVMapMatch-CAF,2.425,0.0346220427,0.0292448267
BEVMapMatch-CAF,2.475,0.0346220427,0.0305566772
BEVMapMatch-CAF,2.525,0.0230813618,0.0286678876
BEVMapMatch-CAF,2.575,0.0346220427,0.0262422540
BEVMapMatch-CAF,2.625,0.0115406809,0.0247881576
BEVMapMatch-CAF,2.675,0.0346220427,0.0290866773
BEVMapMatch-CAF,2.725,0.0346220427,0.0345708823
BEVMapMatch-CAF,2.775,0.0346220427,0.0395085667
BEVMapMatch-CAF,2.825,0.0577034045,0.0412742937
BEVMapMatch-CAF,2.875,0.0230813618,0.0361161566
BEVMapMatch-CAF,2.925,0.0403923832,0.0317601646
BEVMapMatch-CAF,2.975,0.0173110214,0.0306830269
BEVMapMatch-CAF,3.025,0.0461627236,0.0314418748
BEVMapMatch-CAF,3.075,0.0230813618,0.0261014743
BEVMapMatch-CAF,3.125,0.0173110214,0.0178097537
BEVMapMatch-CAF,3.175,0.0057703405,0.0148790832
BEVMapMatch-CAF,3.225,0.0230813618,0.0185798369
BEVMapMatch-CAF,3.275,0.0230813618,0.0220185690
BEVMapMatch-CAF,3.325,0.0230813618,0.0218092592
BEVMapMatch-CAF,3.375,0.0230813618,0.0181436774
BEVMapMatch-CAF,3.425,0.0000000000,0.0169244710
BEVMapMatch-CAF,3.475,0.0346220427,0.0228990984
BEVMapMatch-CAF,3.525,0.0288517023,0.0244747062
BEVMapMatch-CAF,3.575,0.0115406809,0.0220507234
BEVMapMatch-CAF,3.625,0.0288517023,0.0236757557
BEVMapMatch-CAF,3.675,0.0288517023,0.0227152837
BEVMapMatch-CAF,3.725,0.0115406809,0.0166143066
BEVMapMatch-CAF,3.775,0.0115406809,0.0119802125
BEVMapMatch-CAF,3.825,0.0115406809,0.0094985802
BEVMapMatch-CAF,3.875,0.0000000000,0.0103518930
BEVMapMatch-CAF,3.925,0.0230813618,0.0161204126
BEVMapMatch-CAF,3.975,0.0230813618,0.0180043639
BEVMapMatch-CAF,4.025,0.0115406809,0.0134838329
BEVMapMatch-CAF,4.075,0.0057703405,0.0096263961
BEVMapMatch-CAF,4.125,0.0115406809,0.0091357892
BEVMapMatch-CAF,4.175,0.0057703405,0.0106602366
BEVMapMatch-CAF,4.225,0.0173110214,0.0141549675
BEVMapMatch-CAF,4.275,0.0173110214,0.0166110196
BEVMapMatch-CAF,4.325,0.0173110214,0.0166110196
BEVMapMatch-CAF,4.375,0.0173110214,0.0141293873
BEVMapMatch-CAF,4.425,0.0057703405,0.0103741862
BEVMapMatch-CAF,4.475,0.0115406809,0.0080252082
BEVMapMatch-CAF,4.525,0.0000000000,0.0084087410
BEVMapMatch-CAF,4.575,0.0173110214,0.0131211270
BEVMapMatch-CAF,4.625,0.0173110214,0.0183704420
