subset,num_samples,median_error_m,max_error_m,auc_1m,auc_2m,auc_5m
all,5972,1.3946570251813752,452.3445865709017,0.13814126225628126,0.3193596361858263,0.46626941334442595
night,564,15.5108862282899,373.5707764266364,0.08771504836620639,0.20759424603951054,0.3201338858063905
rain,1063,8.8670739254841,449.1977571181762,0.10273231276700494,0.2607025808196992,0.39340615812693924
night_rain,96,1.196557375642798,349.75723723748735,0.15241061587469645,0.3753995779015842,0.5731149166645315
not_night_not_rain,4441,1.1467025256047503,452.3445865709017,0.15344186029466694,0.34891783575831625,0.5046912206280041
