id,error_m,used_field
1531281439800013-30e55a3ec6184d8cb1944b39ba19d622,88.09724740308292,distance_m
1531281440299931-cc18fde20db74d30825b0b60ec511b7b,55.822262584026454,distance_m
1531281440800341-08e76760a8c64a92a86686baf68f6aff,16.660997345508395,distance_m
1531281441300213-2140329a6990437aa46b83c30f49cf49,122.51989634341028,distance_m
1531281441800080-01a7d01c014f406f87b8fe11976c3d0a,80.75038699597668,distance_m
1531281442299946-a2fada921a7d4141877f4a51328a21af,86.17206623958833,distance_m
1531281442899890-b06a815164ec466f9fdb525522bb3799,101.41067498049699,distance_m
1531281443400341-5bd85334fdf94fb99c7eaa45d5feba0d,78.9976265466248,distance_m
1531281443900217-61f89208546a4045af336659ebe8db05,56.237220770589296,distance_m
1531281444400092-3bf56ebb22b741339967a95a9fbe2081,163.75782424055348,distance_m
1531281444899950-296fcfbf2e29489699f1cb5631f38ff5,152.5946427631062,distance_m
1531281445399270-f7d75d25c86941f3aecfed9efea1a3e3,145.20317257578392,distance_m
1531281445899707-1dfecb8189f54b999f4e47ddaa677fd0,199.43143468934647,distance_m
1531281446448802-830ba619959e4802a955ac40c5ee9453,298.673107259425,distance_m
1531281446948669-dc2b67cdadca4deb89d7d684f2894292,213.59804540304202,distance_m
1531281447447993-e1dffaba060040cfab07dec04790fbfa,145.59575886680216,distance_m
1531281447947865-be28204a6a5a42ed9939d95ec3f22f5f,179.17344948401256,distance_m
1531281448397977-77c3d98fab3e4d3ea65747caaa74d605,287.7370761650295,distance_m
1531281448898402-5224809ffef94a6e83454ad3930d3533,243.26040573837741,distance_m
1531281449449207-3c18f85f037744b6ae4c8a6f8dc578c2,254.07011827446377,distance_m
1531281449949036-08d95280dd2f42d98a4a6e33dff8e815,139.7412787976409,distance_m
1531281450448906-f38aedc5545643d5be815165c6574186,17.96004337718337,distance_m
1531281450949347-56f30b8972084492bbe742d423fc00ff,11.69862555582947,distance_m
1531281451449214-d536032be01140afb6faa25b33de5487,205.3938290212245,distance_m
1531281451949111-4094ae4656fb4b8fb1906192b24a34cb,9.93768573802337,distance_m
1531281452448962-df25b3ecaf994001ab5d5b92b9de89fd,115.70490482257007,distance_m
1531281452949395-27f42a55215f4223a01afa79fcda72e6,3.2815070274450853,distance_m
1531281453399502-f3c9f3e85f384381bfced8c2a863376f,80.84011999001486,distance_m
1531281453899931-9c0558316d134feb8835997f8df4444d,66.26179140349286,distance_m
1531281454400401-755ef1d006e94b2a87523000781a7a99,0.595774779012595,distance_m
1531281454900814-4f9ad42bb4a24970b770ba0a87baf47a,1.0530939301014,distance_m
1531281455400117-5ea654e6b56a457093b835dbf8c886e4,38.57906084941964,distance_m
1531281455900009-8d4ef2af6b394e5e8ccfd6e2e90156dc,1.3262852681335973,distance_m
1531281456399866-91cc3d4e0df748fd8f7b2955fa4b549c,37.190388543278225,distance_m
1531281456900314-adcff599db1e48f19fd5c0fc827c8d79,150.06373645887936,distance_m
1531281457449937-ec78e68b1637464da5305a9cbed214c4,1.610651553755858,distance_m
1531281457949838-9288108d128d4579a54fb135d08b46ad,0.7685919448042652,distance_m
1531281458449687-efce90566e4b4b39a3869c023d7c6f19,99.65252129274,distance_m
1531281458949567-e59fefa1fc19406782779392dff95366,171.6016462624995,distance_m
1531281492800148-adce54dcf6404d37bd170ffc4c2a7836,0.7186056499899142,distance_m
1531281493199947-3613b5ea52bc46d0966fede34be89d38,1.034870316573153,distance_m
1531281493799884-c0f6cef97fa44973afe8ed8e18e652c3,1.547980531666841,distance_m
1531281494299758-895d801ecf3e40019e43a0d5b80bb453,1.394870599483863,distance_m
1531281494799652-18f10858b2b1410f8485ffa35253033d,41.11721050849632,distance_m
1531281495299542-2d72c60d65f84eae91bb4e5b2486b366,1.160593487050974,distance_m
1531281495799388-3d2ce1b79d1c45e5b7db4f26f411bb86,98.2732160865818,distance_m
1531281496298713-9a7a58e327f04340ae8f9ec098a58418,64.29716167919078,distance_m
