threshold_m,success_rate,failure_rate,success_count,total
1.0,0.3955123911587408,0.6044876088412592,2362,5972
2.0,0.5396851975887474,0.46031480241125255,3223,5972
5.0,0.580040187541862,0.41995981245813796,3464,5972
10.0,0.6056597454789016,0.39434025452109844,3617,5972
20.0,0.6614199598124582,0.33858004018754184,3950,5972
50.0,0.8032484929671801,0.19675150703281985,4797,5972
100.0,0.9097454789015406,0.09025452109845944,5433,5972
166.0,0.950100468854655,0.049899531145344955,5674,5972
