Trainable parameters: 5942210
Total parameters: 17118722
Checkpoint path:  None
FULL TRAINING
Starting from scratch
Checkpoint path:  None
FULL TRAINING
Starting from scratch
Epoch [90/500], Train Loss: 11042.1328, Val Loss: 9042.7753
Epoch [91/500], Train Loss: 10803.8167, Val Loss: 9174.0101
Epoch [92/500], Train Loss: 10745.5753, Val Loss: 9174.0101
Epoch [93/500], Train Loss: 10830.8067, Val Loss: 8986.0236
Epoch [94/500], Train Loss: 10612.2337, Val Loss: 8986.0236
Epoch [95/500], Train Loss: 10617.0063, Val Loss: 9091.0907
Epoch [96/500], Train Loss: 10787.2190, Val Loss: 9091.0907
Epoch [97/500], Train Loss: 10523.2475, Val Loss: 8976.1805
Epoch [98/500], Train Loss: 10853.3261, Val Loss: 8976.1805
Epoch [99/500], Train Loss: 10465.2942, Val Loss: 8982.7900
Epoch [100/500], Train Loss: 10535.3800, Val Loss: 8982.7900
Epoch [101/500], Train Loss: 10524.3838, Val Loss: 8959.6229
Epoch [102/500], Train Loss: 10559.2393, Val Loss: 8959.6229
Epoch [103/500], Train Loss: 10346.3325, Val Loss: 9118.4369
Epoch [104/500], Train Loss: 10284.8571, Val Loss: 9118.4369
Epoch [105/500], Train Loss: 10379.6549, Val Loss: 9055.9260
Epoch [106/500], Train Loss: 10185.7096, Val Loss: 9055.9260
Epoch [107/500], Train Loss: 10114.4072, Val Loss: 9168.7179
Epoch [108/500], Train Loss: 10100.2609, Val Loss: 9168.7179
Epoch [109/500], Train Loss: 10165.9575, Val Loss: 9065.9170
Epoch [110/500], Train Loss: 9993.7161, Val Loss: 9065.9170
Epoch [111/500], Train Loss: 10025.8698, Val Loss: 9131.9335
Epoch [112/500], Train Loss: 9998.1641, Val Loss: 9131.9335
Epoch [113/500], Train Loss: 9952.0547, Val Loss: 9032.8440
Epoch [114/500], Train Loss: 9907.0032, Val Loss: 9032.8440
Epoch [115/500], Train Loss: 9874.9531, Val Loss: 9042.3975
Epoch [116/500], Train Loss: 9905.7320, Val Loss: 9042.3975
Epoch [117/500], Train Loss: 9993.4092, Val Loss: 9064.5770
Epoch [118/500], Train Loss: 9709.4265, Val Loss: 9064.5770
Epoch [119/500], Train Loss: 9690.8609, Val Loss: 9140.1068
Epoch [120/500], Train Loss: 9794.8064, Val Loss: 9140.1068
Epoch [121/500], Train Loss: 9528.6533, Val Loss: 8992.1092
Epoch [122/500], Train Loss: 9903.4296, Val Loss: 8992.1092
Epoch [123/500], Train Loss: 9510.9755, Val Loss: 9076.9867
Epoch [124/500], Train Loss: 9570.8175, Val Loss: 9076.9867
Epoch [125/500], Train Loss: 9561.9612, Val Loss: 8994.1188
Epoch [126/500], Train Loss: 9552.9580, Val Loss: 8994.1188
Epoch [127/500], Train Loss: 9460.8960, Val Loss: 9021.0897
Epoch [128/500], Train Loss: 9496.6090, Val Loss: 9021.0897
Epoch [129/500], Train Loss: 9646.4340, Val Loss: 8950.8615
Epoch [130/500], Train Loss: 9413.3258, Val Loss: 8950.8615
Epoch [131/500], Train Loss: 9337.8925, Val Loss: 9056.5623
Epoch [132/500], Train Loss: 9435.5978, Val Loss: 9056.5623
Epoch [133/500], Train Loss: 9168.2569, Val Loss: 9004.3332
Epoch [134/500], Train Loss: 9295.5110, Val Loss: 9004.3332
Epoch [135/500], Train Loss: 9364.5950, Val Loss: 9041.9567
Epoch [136/500], Train Loss: 9367.7370, Val Loss: 9041.9567
Epoch [137/500], Train Loss: 9307.5785, Val Loss: 9049.9792
Epoch [138/500], Train Loss: 9034.8999, Val Loss: 9049.9792
Epoch [139/500], Train Loss: 9138.4150, Val Loss: 9044.9318
Epoch [140/500], Train Loss: 9147.7968, Val Loss: 9044.9318
Epoch [141/500], Train Loss: 9172.9166, Val Loss: 9205.8121
Epoch [142/500], Train Loss: 9042.0505, Val Loss: 9205.8121
Epoch [143/500], Train Loss: 9038.2158, Val Loss: 9132.3150
Epoch [144/500], Train Loss: 8790.6900, Val Loss: 9132.3150
Epoch [145/500], Train Loss: 8887.9297, Val Loss: 9164.3161
Epoch [146/500], Train Loss: 8847.4456, Val Loss: 9164.3161
Epoch [147/500], Train Loss: 8886.0415, Val Loss: 9239.3342
Epoch [148/500], Train Loss: 8755.3021, Val Loss: 9239.3342
Epoch [149/500], Train Loss: 8816.4320, Val Loss: 8925.9041
Epoch [150/500], Train Loss: 8825.3966, Val Loss: 8925.9041
Epoch [151/500], Train Loss: 8873.9260, Val Loss: 9021.6043
Epoch [152/500], Train Loss: 8892.7812, Val Loss: 9021.6043
Epoch [153/500], Train Loss: 8940.1309, Val Loss: 8931.7861
Epoch [154/500], Train Loss: 8665.3472, Val Loss: 8931.7861
Epoch [155/500], Train Loss: 8676.7497, Val Loss: 8803.4113
Epoch [156/500], Train Loss: 8704.2480, Val Loss: 8803.4113
Epoch [157/500], Train Loss: 8571.5034, Val Loss: 8843.0268
Epoch [158/500], Train Loss: 8498.0891, Val Loss: 8843.0268
Epoch [159/500], Train Loss: 8591.1205, Val Loss: 8960.2518
Epoch [160/500], Train Loss: 8717.3797, Val Loss: 8960.2518
Epoch [161/500], Train Loss: 8619.9363, Val Loss: 8720.0743
Epoch [162/500], Train Loss: 8485.2647, Val Loss: 8720.0743
Epoch [163/500], Train Loss: 8321.5653, Val Loss: 9169.4758
Epoch [164/500], Train Loss: 8482.0604, Val Loss: 9169.4758
Epoch [165/500], Train Loss: 8536.1566, Val Loss: 9245.2630
Epoch [166/500], Train Loss: 8320.7704, Val Loss: 9245.2630
Epoch [167/500], Train Loss: 8501.2937, Val Loss: 8892.2833
Epoch [168/500], Train Loss: 8229.1438, Val Loss: 8892.2833
Epoch [169/500], Train Loss: 8372.0964, Val Loss: 9160.1289
Epoch [170/500], Train Loss: 8236.4567, Val Loss: 9160.1289
Epoch [171/500], Train Loss: 8287.0223, Val Loss: 9259.0771
Epoch [172/500], Train Loss: 8270.2402, Val Loss: 9259.0771
Epoch [173/500], Train Loss: 8197.1411, Val Loss: 9108.1320
Epoch [174/500], Train Loss: 8234.9178, Val Loss: 9108.1320
Epoch [175/500], Train Loss: 8255.9033, Val Loss: 9225.3137
Epoch [176/500], Train Loss: 8094.3041, Val Loss: 9225.3137
Epoch [177/500], Train Loss: 8111.8094, Val Loss: 9254.6668
Epoch [178/500], Train Loss: 8101.1221, Val Loss: 9254.6668
Epoch [179/500], Train Loss: 7976.2353, Val Loss: 9081.9543
Epoch [180/500], Train Loss: 8167.4945, Val Loss: 9081.9543
Epoch [181/500], Train Loss: 7977.4274, Val Loss: 9372.9146
Epoch [182/500], Train Loss: 7921.4134, Val Loss: 9372.9146
Epoch [183/500], Train Loss: 8054.7487, Val Loss: 9268.3409
Epoch [184/500], Train Loss: 7969.6980, Val Loss: 9268.3409
Epoch [185/500], Train Loss: 7856.0505, Val Loss: 9268.9827
Epoch [186/500], Train Loss: 7850.9640, Val Loss: 9268.9827
Epoch [187/500], Train Loss: 7838.2271, Val Loss: 9220.3601
Epoch [188/500], Train Loss: 7886.8841, Val Loss: 9220.3601
Epoch [189/500], Train Loss: 7888.3959, Val Loss: 9514.7939
Epoch [190/500], Train Loss: 7813.5613, Val Loss: 9514.7939
Epoch [191/500], Train Loss: 7801.1349, Val Loss: 9075.6881
Epoch [192/500], Train Loss: 7814.4570, Val Loss: 9075.6881
Epoch [193/500], Train Loss: 7801.2374, Val Loss: 9301.4965
Epoch [194/500], Train Loss: 7683.7810, Val Loss: 9301.4965
Epoch [195/500], Train Loss: 7765.4802, Val Loss: 8881.0155
Epoch [196/500], Train Loss: 7588.6885, Val Loss: 8881.0155
Epoch [197/500], Train Loss: 7640.5716, Val Loss: 8701.8764
Epoch [198/500], Train Loss: 7664.1058, Val Loss: 8701.8764
Epoch [199/500], Train Loss: 7646.0030, Val Loss: 9496.9125
Epoch [200/500], Train Loss: 7577.1175, Val Loss: 9496.9125
Epoch [201/500], Train Loss: 7648.8571, Val Loss: 8846.5413
Epoch [202/500], Train Loss: 7547.3132, Val Loss: 8846.5413
Epoch [203/500], Train Loss: 7500.6117, Val Loss: 8841.6938
Epoch [204/500], Train Loss: 7542.7917, Val Loss: 8841.6938
Epoch [205/500], Train Loss: 7518.2623, Val Loss: 8878.4035
Epoch [206/500], Train Loss: 7476.2987, Val Loss: 8878.4035
Epoch [207/500], Train Loss: 7329.1106, Val Loss: 9123.1546
Epoch [208/500], Train Loss: 7418.3507, Val Loss: 9123.1546
