bin_left_m,bin_right_m,count,mean_error_m,median_error_m,p90_error_m
0.0,5.0,2,23.160609870097783,23.160609870097783,24.782294401849565
5.0,10.0,6,36.828283146927156,36.54921468899575,72.05449523812493
10.0,15.0,8,91.90864516711886,49.97204093278576,252.55214676304527
15.0,20.0,23,27.86498925713742,1.7691093096295833,57.01213354521077
20.0,25.0,32,48.28740346164944,24.997323941543044,120.25697626640897
25.0,30.0,40,77.90048236185127,30.53594203269656,233.26897043919374
30.0,35.0,40,54.18964054773414,19.51029227280617,120.75014593147637
35.0,40.0,50,56.340195665807144,23.687442434294276,159.58102259606466
40.0,45.0,46,46.88490898990105,12.24548085303093,93.82487912908604
45.0,50.0,54,57.78859041401132,25.6181549631593,176.81794696579803
50.0,55.0,54,55.22512404653094,25.00559061164351,120.50733620577432
55.0,60.0,65,54.61196629552629,7.850159234053791,184.54113350566413
60.0,65.0,73,40.82471746771526,12.06751838614717,120.51663234594598
65.0,70.0,88,47.784629113766485,15.554689766400248,145.07405706389522
70.0,75.0,89,57.45446063565497,30.8322071866417,125.91344980904395
75.0,80.0,84,39.58201279896817,4.943768587808123,133.53611268026026
80.0,85.0,116,60.9725386116542,22.762356630470187,205.95306824550386
85.0,90.0,97,44.235096675241124,3.687818672278468,152.16486605113423
90.0,95.0,111,48.16934159200169,15.463667094192115,131.32259896910355
95.0,100.0,131,61.14567226910901,17.553489681541958,152.5946427631062
100.0,105.0,123,44.10305949303735,23.262093628906236,114.57162977818815
105.0,110.0,118,33.65897400987523,2.8137928085612747,101.13576325954635
110.0,115.0,143,57.21562329683561,15.350081433008752,168.37211152655567
115.0,120.0,130,62.86147357350365,17.185355151900353,170.85956673912366
120.0,125.0,147,43.699830437502015,16.930002953337013,111.78209711015487
125.0,130.0,162,45.662534805544276,10.598396526530141,142.550334028919
130.0,135.0,152,46.167377433089435,14.546137304182608,132.13055980163134
135.0,140.0,175,44.95518246507696,15.544291556709814,116.97642581140624
140.0,145.0,175,49.83025672268339,16.974245196767956,129.82765392006203
145.0,150.0,162,50.66596246243985,10.983270648914313,163.28568337525618
150.0,155.0,177,54.85161936346928,16.90044378115557,200.45101002683728
155.0,160.0,174,47.95654133385675,4.187806232795134,139.91724942278154
160.0,165.0,176,53.63649000374826,25.236273097159,135.9471000526642
165.0,170.0,167,46.616535261054466,14.853450777512949,127.73283136977894
170.0,175.0,217,45.09281927427196,11.995831811138133,130.34793459849473
175.0,180.0,228,58.52003690972796,20.74131335790677,176.6956548589162
180.0,185.0,210,54.40586549542595,22.56957212321756,154.88215648185974
185.0,190.0,203,46.75267323389536,12.211674741819813,138.0794556389848
190.0,195.0,204,49.49487036027354,9.767128503243967,135.0791802407384
195.0,200.0,215,44.05619721681625,9.650129532809391,120.53224383064295
200.0,205.0,189,54.54151815491525,18.409738406377738,186.19927134540964
205.0,210.0,168,60.17057203432015,24.733247760766794,181.02156077171034
210.0,215.0,127,44.76699922074749,10.843075638914149,132.66541578837587
215.0,220.0,133,55.15532310020677,13.642454747686863,174.89260825767792
220.0,225.0,126,49.504455122086384,14.195012092621257,124.12156424174901
225.0,230.0,83,63.63485695563126,26.251190449196777,149.91533734250262
230.0,235.0,99,41.974133595653235,5.368601222675529,92.72258429442306
235.0,240.0,79,47.03123611858626,19.445257188801236,98.37565543859591
240.0,245.0,65,30.74050510730156,5.488912664379206,104.8902078970618
245.0,250.0,64,63.88616157062459,31.424009906082894,181.09524543119693
250.0,255.0,53,52.09503498749037,11.963486114005399,176.36903912873618
255.0,260.0,42,38.028929362441396,3.8994613724877976,93.4433619715027
260.0,265.0,28,38.7455623227918,4.680138464594031,114.94324174801648
265.0,270.0,26,46.6347003949854,2.58090055388722,170.15903476722656
270.0,275.0,13,76.6855461890307,51.13829289289974,158.31084158719227
275.0,280.0,7,47.87041338868149,40.31758628252983,106.78983144792043
280.0,285.0,2,27.361756798840464,27.361756798840464,48.73249467899439
