bin_left_m,bin_right_m,count,mean_error_m,median_error_m,p90_error_m
0.0,1.0,0,,,
1.0,2.0,0,,,
2.0,3.0,0,,,
3.0,4.0,1,21.133504205408055,21.133504205408055,21.133504205408055
4.0,5.0,1,25.18771553478751,25.18771553478751,25.18771553478751
5.0,6.0,1,75.48592584051679,75.48592584051679,75.48592584051679
6.0,7.0,1,32.758586660599384,32.758586660599384,32.758586660599384
7.0,8.0,2,20.466293708453456,20.466293708453456,36.36513291560438
8.0,9.0,1,3.1695343278067707,3.1695343278067707,3.1695343278067707
9.0,10.0,1,68.62306463573307,68.62306463573307,68.62306463573307
10.0,11.0,1,0.4144621863815633,0.4144621863815633,0.4144621863815633
11.0,12.0,2,144.10741921605754,144.10741921605754,224.8714774672869
12.0,13.0,1,85.4173577207818,85.4173577207818,85.4173577207818
13.0,14.0,1,270.0280078065977,270.0280078065977,270.0280078065977
14.0,15.0,3,30.398165063691582,33.393788408253386,52.11214605249123
15.0,16.0,7,43.5185143501423,0.9507234554825397,123.22926083830959
16.0,17.0,5,19.517675923523633,2.2852544024249277,49.60085182228835
17.0,18.0,3,27.10992196741644,32.41334601672589,44.92951562798708
18.0,19.0,5,19.08674335021022,1.7691093096295833,48.326074748807855
19.0,20.0,3,20.63776339741534,25.790017448617593,33.5227703669605
20.0,21.0,4,10.074225586404744,5.701000840667795,23.043381569528947
21.0,22.0,9,41.43765679416122,19.81476722043436,128.16672357382984
22.0,23.0,10,68.94805515373503,35.94480996591774,117.101212586315
23.0,24.0,2,86.17263517134793,86.17263517134793,154.8394688059952
24.0,25.0,7,38.59075362852371,49.39256016851121,72.23011477406845
25.0,26.0,6,57.237730707404104,53.4121977361691,116.92325504281726
26.0,27.0,10,57.70733752208207,30.53594203269656,131.40487322515037
27.0,28.0,6,70.72693753843946,50.59006017886257,158.16039481263587
28.0,29.0,11,110.6253800187897,4.838578843185577,324.5622051317744
29.0,30.0,7,79.18267565306893,20.09042060286444,208.50056987192025
30.0,31.0,5,32.974373104420565,10.469032501633507,79.24132008483824
31.0,32.0,14,64.46439770289965,4.297234677702063,264.95766525216436
32.0,33.0,6,23.45689231863723,22.13742355823944,47.56262068569917
33.0,34.0,8,61.98678105260061,34.8208519365265,151.2461467005945
34.0,35.0,7,66.22522660200569,87.46785123689732,125.60846713685697
35.0,36.0,11,86.67660614940866,1.4715269259466175,332.1733357751642
36.0,37.0,10,44.74773493266992,4.462553503075531,163.20306686716634
37.0,38.0,7,59.84010146675394,49.63491714509051,119.73314816474661
38.0,39.0,11,57.37396459071949,12.347228167498526,141.54901977760213
39.0,40.0,11,33.28140414136094,26.050431858224538,95.77643238291975
40.0,41.0,8,100.34568354536623,43.0169867805504,301.27804859552793
41.0,42.0,3,53.55793495843792,77.94629561435232,80.64861663583703
42.0,43.0,13,48.40756714279559,22.630178965266712,74.98434593011079
43.0,44.0,14,17.846098723019473,1.3644296385394448,62.54950334152808
44.0,45.0,8,39.265348164823685,25.97770304371799,87.8830515516107
45.0,46.0,10,107.37214946122317,38.231066967913065,267.6603659661169
46.0,47.0,6,32.522060023477266,28.750056666869792,63.178077605783876
47.0,48.0,15,30.595341200705192,2.4301798194257267,56.852899591682196
48.0,49.0,13,71.34489289472829,24.981287057740232,126.78128282475504
49.0,50.0,10,46.53163019614696,22.921362151839432,108.07129256305807
50.0,51.0,0,,,
