threshold_m,success_rate,failure_rate,success_count,total
1.0,0.3066792097836312,0.6933207902163687,326,1063
2.0,0.464722483537159,0.5352775164628409,494,1063
5.0,0.49106302916274697,0.5089369708372531,522,1063
10.0,0.504233301975541,0.49576669802445905,536,1063
20.0,0.5465663217309501,0.4534336782690499,581,1063
50.0,0.6632173095014111,0.3367826904985889,705,1063
100.0,0.7892756349952963,0.2107243650047037,839,1063
166.0,0.8777046095954845,0.12229539040451554,933,1063
