threshold_m,success_rate,failure_rate,success_count,total
1.0,0.18807339449541285,0.8119266055045872,41,218
2.0,0.3348623853211009,0.6651376146788991,73,218
5.0,0.3944954128440367,0.6055045871559632,86,218
10.0,0.41284403669724773,0.5871559633027523,90,218
20.0,0.463302752293578,0.536697247706422,101,218
30.0,0.5504587155963303,0.4495412844036697,120,218
