id,error_m,used_field
1531281505697394-6ea8ed46a7e04a10abfa6acd5290ea09,1.3479307126973576,distance_m
1531281506297919-1db65e17354d4873bd22d3186e7dfcdf,0.9063209462127062,distance_m
1531281506798875-d0a9cf1d37cd414584f676826a1f400a,0.7068961653035994,distance_m
1531281507298748-21e50bd8b149409a9791a74acf49a676,0.7105662940555911,distance_m
1531281507799178-459ac79bafdf4b88913f981c1fa71b2c,0.6397124917285556,distance_m
1531281508299057-e05526aafa644218b37ab46567a6e776,0.6127214027031814,distance_m
1531281508699974-9260fb448a3a49c0be2d174e01157940,0.663273820690873,distance_m
1531281509200407-5abd3d15e63c44a8a8189a6e70a496ef,96.30485449861808,distance_m
1531281509650513-44a799dcf8cd4393aaa748e1bcd96d58,84.02281036347905,distance_m
1531281510150365-addc85df1c34465090f92fa811ecaac6,0.5726566533709174,distance_m
1531281510649696-7483e0aca67b4ed79c12f553d5123923,0.4005995821490434,distance_m
1531281511149570-79aee76081974fe18eff436a020ce606,0.5387473756563167,distance_m
1531281511649993-c359678db3e0441397c0d631f98ec7e1,0.5228728297127179,distance_m
1531281512049800-8cf0dfa0d78f469e8b10760332954028,0.7318569896252104,distance_m
1531281546699948-51f37263b06c417e94138f2d9348f909,180.3347581582652,distance_m
1531281547199310-d14ff11d28f8410a83aae3cd04de0203,153.509364535197,distance_m
1531281547649390-8b93ca14a898421d88a437bbd88fb716,0.38453779559758205,distance_m
1531281548149795-c48d2494401a419b8c56b7f413526bd8,0.7104303118803742,distance_m
1531281548649686-af4baa2810cf431695fbe4f3f5ce7951,0.8225492469774995,distance_m
1531281549149002-8d74da149b1041cf8f0ff4a23c53342c,0.6700694069981417,distance_m
1531281549648901-752c9911f5184076b7498c32913821be,0.8056244541621922,distance_m
1531281550199069-5f610345cd6841f2afef4769153b5fe5,0.7019588396371481,distance_m
1531281550649744-32d941ca626c458381f13c0c7ab267b8,0.5624341469031019,distance_m
1531281551149633-6a02dd6bc13a457b9af4dc88220e269e,0.6752786476008692,distance_m
1531281551650042-d492d47f5aba43249fe426f07a2911bf,0.6897695020514903,distance_m
1531281552299946-7b175346a22b4e68b54a9d21f88446dc,0.6374264978452856,distance_m
1531281552799641-1192c1448ec044ef97df3078e92032eb,0.8558801745546348,distance_m
1531281553298994-6f82d20df0564605978ac7ee7d2da494,0.7800897892520708,distance_m
1531281553798857-2f207084f4794686be52b8fbbfa91f1f,0.5884964832191865,distance_m
1531281554298714-71a74ae092364afebe91caaee4ed2af3,0.8426410666609122,distance_m
1531281554799156-a95deb56b3a845acae5cc782f42e5e4c,0.7453425239558638,distance_m
1531281555299586-76b0296bc28a454894ea616e547ee9e9,0.7544167802921382,distance_m
1531281555799489-8ccc7487ae0a4aed9daa021f6efe96b5,0.8130519719355658,distance_m
1531281556199263-91bb8353dea24e0eb219c013b45dcd64,0.5763846961470935,distance_m
