Epoch [22/60], Train Loss: 0.0233, Top-4 Train Acc: 99.96%, Top-1/2/3 Train Acc: 99.29%/99.83%/99.94%, Val Loss: 0.1075, Top-4 Val Acc: 91.50%, Top-1/2/3 Val Acc: 81.22%/87.71%/90.49%, Train IoU: 86.82, Val IoU: 58.94
Epoch [23/60], Train Loss: 0.0223, Top-4 Train Acc: 99.95%, Top-1/2/3 Train Acc: 99.43%/99.88%/99.92%, Val Loss: 0.1151, Top-4 Val Acc: 90.63%, Top-1/2/3 Val Acc: 78.81%/85.57%/89.19%, Train IoU: 87.40, Val IoU: 57.58
Epoch [24/60], Train Loss: 0.0208, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.46%/99.84%/99.96%, Val Loss: 0.1168, Top-4 Val Acc: 91.20%, Top-1/2/3 Val Acc: 81.08%/86.47%/89.96%, Train IoU: 88.34, Val IoU: 58.77
Epoch [25/60], Train Loss: 0.0201, Top-4 Train Acc: 99.96%, Top-1/2/3 Train Acc: 99.53%/99.85%/99.92%, Val Loss: 0.1197, Top-4 Val Acc: 91.56%, Top-1/2/3 Val Acc: 80.42%/86.88%/90.26%, Train IoU: 88.97, Val IoU: 59.37
Epoch [26/60], Train Loss: 0.0183, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.66%/99.92%/99.98%, Val Loss: 0.1266, Top-4 Val Acc: 91.13%, Top-1/2/3 Val Acc: 79.44%/86.31%/89.79%, Train IoU: 89.76, Val IoU: 58.36
Epoch [27/60], Train Loss: 0.0179, Top-4 Train Acc: 99.97%, Top-1/2/3 Train Acc: 99.57%/99.87%/99.95%, Val Loss: 0.1208, Top-4 Val Acc: 91.13%, Top-1/2/3 Val Acc: 80.72%/87.08%/89.76%, Train IoU: 90.09, Val IoU: 60.36
Epoch [28/60], Train Loss: 0.0175, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.58%/99.94%/99.96%, Val Loss: 0.1252, Top-4 Val Acc: 91.26%, Top-1/2/3 Val Acc: 80.48%/87.04%/89.96%, Train IoU: 90.61, Val IoU: 59.65
Epoch [29/60], Train Loss: 0.0153, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.71%/99.94%/99.98%, Val Loss: 0.1378, Top-4 Val Acc: 91.06%, Top-1/2/3 Val Acc: 80.75%/87.01%/90.02%, Train IoU: 91.83, Val IoU: 58.88
Epoch [30/60], Train Loss: 0.0159, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.70%/99.95%/99.98%, Val Loss: 0.1398, Top-4 Val Acc: 91.09%, Top-1/2/3 Val Acc: 80.98%/86.84%/89.86%, Train IoU: 91.71, Val IoU: 59.07
Epoch [31/60], Train Loss: 0.0143, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.81%/99.94%/99.98%, Val Loss: 0.1383, Top-4 Val Acc: 91.33%, Top-1/2/3 Val Acc: 80.45%/87.08%/89.86%, Train IoU: 92.71, Val IoU: 59.44
