threshold_m,success_rate,failure_rate,success_count,total
1.0,0.536697247706422,0.463302752293578,117,218
2.0,0.6605504587155964,0.33944954128440363,144,218
5.0,0.6834862385321101,0.3165137614678899,149,218
10.0,0.6972477064220184,0.3027522935779816,152,218
20.0,0.7201834862385321,0.2798165137614679,157,218
30.0,0.7522935779816514,0.24770642201834858,164,218
