bin_left_m,bin_right_m,count,mean_error_m,median_error_m,p90_error_m
0.0,5.0,2,16.357369513654263,16.357369513654263,20.178277267057297
5.0,10.0,6,2.8957597847374497,0.9345731218360908,7.222546037950278
10.0,15.0,8,33.99453170135177,17.29397125969965,82.88737027463793
15.0,20.0,23,30.860882104082094,1.0426495727436984,71.70696757783713
20.0,25.0,32,27.557044569570063,1.5029411623790283,75.68883780274642
25.0,30.0,40,42.21965115770482,2.951907740216968,115.01574807106613
30.0,35.0,40,35.280972880319794,2.0156454343563004,94.92892182236561
35.0,40.0,50,30.037815223380672,1.4827429352361956,90.3912486718688
40.0,45.0,46,36.248159172942245,1.2345920282072176,71.84286828816076
45.0,50.0,54,41.439002816763875,13.24694477241592,115.0531683242883
50.0,55.0,54,44.61334496379808,1.2136929492764195,132.85947638877653
55.0,60.0,65,24.031109142527725,1.0097252785424369,69.53949967748409
60.0,65.0,73,39.13264145282611,2.749025663091315,116.13545917888919
65.0,70.0,88,16.383240759990382,0.9963206053336284,39.77122223914914
70.0,75.0,90,39.065134238901564,3.7084340338095014,104.75256901119903
75.0,80.0,84,25.451990780054157,1.137795581077472,86.05569166262993
80.0,85.0,116,37.73839386011196,3.6321152167660156,102.34417160658934
85.0,90.0,97,22.033543678626863,0.9028480994959062,73.05068425123042
90.0,95.0,111,30.734660988336735,1.2250031152823209,80.35001555693688
95.0,100.0,131,31.976876096654284,2.548366315712284,85.63074798225226
100.0,105.0,123,22.5220143544141,1.7848850537071488,65.88408506804316
105.0,110.0,118,27.30784657765509,1.0389991323093843,75.8411416807503
110.0,115.0,143,31.513417811424006,1.0999365474617708,99.64966188688149
115.0,120.0,130,44.389818062698225,4.25290046150419,131.65907980921716
120.0,125.0,147,34.6225924909779,1.3563931077814257,102.53710850485118
125.0,130.0,162,27.632910514762763,1.268649166560732,92.42371101169599
130.0,135.0,152,29.639819524321307,1.4263344148871213,88.55552141075832
135.0,140.0,175,33.01412089343904,1.6568655953629217,82.44053598681253
140.0,145.0,175,29.20717985823764,1.3377145290348644,77.7591851468973
145.0,150.0,162,33.47826613168727,2.0161558623001463,84.63960271744673
150.0,155.0,177,38.92901635015729,1.3426450462508388,146.02376677955525
155.0,160.0,174,32.92412727928028,1.0636610796977646,91.22821538453411
160.0,165.0,176,31.362385797261553,1.2530119713270398,93.85563493076101
165.0,170.0,167,34.39691727331682,1.63741438636096,104.47283650728248
170.0,175.0,217,32.73786912672699,1.192902583425645,86.86000486554153
175.0,180.0,228,35.32602859762521,1.4715613255267148,92.49289530626211
180.0,185.0,210,36.81288897684682,2.012580173302294,102.67753956383048
185.0,190.0,203,28.076628593499986,1.2830380819314904,90.61589984079453
190.0,195.0,204,30.32564119283722,1.2766891625480512,78.8445245622645
195.0,200.0,214,27.11466440451458,1.4881407429061855,76.16977938002
200.0,205.0,189,30.090159125465632,1.2513552011958662,87.36900681115652
205.0,210.0,168,33.243662859742045,11.412464945983395,93.33351780997137
210.0,215.0,127,23.6351179997695,1.2049229770354133,52.28865127901956
215.0,220.0,133,34.66581778218039,1.2580521072672275,109.9821112787345
220.0,225.0,127,33.862461124757765,1.1790004785061186,91.7003686276979
225.0,230.0,83,47.46777070716644,1.4792637912042914,171.04622400466556
230.0,235.0,99,28.250760235069293,1.1340386481963225,61.49193325436564
235.0,240.0,79,33.87405554221223,1.2916161429539186,87.55531503592671
240.0,245.0,65,31.2777355484928,1.6826313577126446,80.0509463611232
245.0,250.0,64,54.78042140536732,8.133185931507597,193.83580095914417
250.0,255.0,53,24.611354096731535,1.5474998603302337,66.3852019285777
255.0,260.0,42,12.532730543711477,0.9560471373272013,44.2074933372801
260.0,265.0,28,41.55594363531049,1.3290240967184666,128.3048127931019
265.0,270.0,26,31.10696272391477,1.1037025686470168,56.709640508620055
270.0,275.0,13,91.92521940860283,42.703922536460276,300.97495489677334
275.0,280.0,7,41.273605889849556,5.548503121762139,110.46209253781498
280.0,285.0,2,9.313170158929585,9.313170158929585,16.265411541696984
